matchId,teamId,queueId,patch,gameDuration,role,championId,win,ally1,ally2,ally3,ally4,enemy1,enemy2,enemy3,enemy4,enemy5
EUW1_7600321696,100,420,15.22,1662,TOP,Aatrox,1,Khazix,Malzahar,Jhin,Velkoz,Jax,Graves,Mel,Tristana,Janna
EUW1_7600321696,100,420,15.22,1662,JUNGLE,Khazix,1,Aatrox,Malzahar,Jhin,Velkoz,Jax,Graves,Mel,Tristana,Janna
EUW1_7600321696,100,420,15.22,1662,MIDDLE,Malzahar,1,Aatrox,Khazix,Jhin,Velkoz,Jax,Graves,Mel,Tristana,Janna
EUW1_7600321696,100,420,15.22,1662,BOTTOM,Jhin,1,Aatrox,Khazix,Malzahar,Velkoz,Jax,Graves,Mel,Tristana,Janna
EUW1_7600321696,100,420,15.22,1662,UTILITY,Velkoz,1,Aatrox,Khazix,Malzahar,Jhin,Jax,Graves,Mel,Tristana,Janna
EUW1_7600321696,200,420,15.22,1662,TOP,Jax,0,Graves,Mel,Tristana,Janna,Aatrox,Khazix,Malzahar,Jhin,Velkoz
EUW1_7600321696,200,420,15.22,1662,JUNGLE,Graves,0,Jax,Mel,Tristana,Janna,Aatrox,Khazix,Malzahar,Jhin,Velkoz
EUW1_7600321696,200,420,15.22,1662,MIDDLE,Mel,0,Jax,Graves,Tristana,Janna,Aatrox,Khazix,Malzahar,Jhin,Velkoz
EUW1_7600321696,200,420,15.22,1662,BOTTOM,Tristana,0,Jax,Graves,Mel,Janna,Aatrox,Khazix,Malzahar,Jhin,Velkoz
EUW1_7600321696,200,420,15.22,1662,UTILITY,Janna,0,Jax,Graves,Mel,Tristana,Aatrox,Khazix,Malzahar,Jhin,Velkoz
EUW1_7600264636,100,420,15.22,1790,TOP,Jax,1,Viego,Anivia,Mel,Shaco,Sion,Ekko,Taliyah,Ashe,Braum
EUW1_7600264636,100,420,15.22,1790,JUNGLE,Viego,1,Jax,Anivia,Mel,Shaco,Sion,Ekko,Taliyah,Ashe,Braum
EUW1_7600264636,100,420,15.22,1790,MIDDLE,Anivia,1,Jax,Viego,Mel,Shaco,Sion,Ekko,Taliyah,Ashe,Braum
EUW1_7600264636,100,420,15.22,1790,BOTTOM,Mel,1,Jax,Viego,Anivia,Shaco,Sion,Ekko,Taliyah,Ashe,Braum
EUW1_7600264636,100,420,15.22,1790,UTILITY,Shaco,1,Jax,Viego,Anivia,Mel,Sion,Ekko,Taliyah,Ashe,Braum
EUW1_7600264636,200,420,15.22,1790,TOP,Sion,0,Ekko,Taliyah,Ashe,Braum,Jax,Viego,Anivia,Mel,Shaco
EUW1_7600264636,200,420,15.22,1790,JUNGLE,Ekko,0,Sion,Taliyah,Ashe,Braum,Jax,Viego,Anivia,Mel,Shaco
EUW1_7600264636,200,420,15.22,1790,MIDDLE,Taliyah,0,Sion,Ekko,Ashe,Braum,Jax,Viego,Anivia,Mel,Shaco
EUW1_7600264636,200,420,15.22,1790,BOTTOM,Ashe,0,Sion,Ekko,Taliyah,Braum,Jax,Viego,Anivia,Mel,Shaco
EUW1_7600264636,200,420,15.22,1790,UTILITY,Braum,0,Sion,Ekko,Taliyah,Ashe,Jax,Viego,Anivia,Mel,Shaco
EUW1_7600211619,100,420,15.22,1361,TOP,Nasus,1,Elise,Sylas,Yasuo,Velkoz,Garen,Diana,Syndra,Draven,Soraka
EUW1_7600211619,100,420,15.22,1361,JUNGLE,Elise,1,Nasus,Sylas,Yasuo,Velkoz,Garen,Diana,Syndra,Draven,Soraka
EUW1_7600211619,100,420,15.22,1361,MIDDLE,Sylas,1,Nasus,Elise,Yasuo,Velkoz,Garen,Diana,Syndra,Draven,Soraka
